iter	Logloss
0	0.6343893113
1	0.5750109008
2	0.5203362751
3	0.4763946116
4	0.4376004944
5	0.3986645984
6	0.370846337
7	0.3402772379
8	0.3110449356
9	0.2877374742
10	0.2637447811
11	0.2425983881
12	0.2222085121
13	0.2064353936
14	0.1920321658
15	0.1785158567
16	0.1639682032
17	0.152130169
18	0.1431420449
19	0.1336725145
20	0.1243449322
21	0.1168983221
22	0.1114084062
23	0.1055248464
24	0.1000276215
25	0.0944157462
26	0.08932294823
27	0.08446817764
28	0.08089633742
29	0.07816208668
30	0.07520308138
31	0.07251154319
32	0.06962116813
33	0.06704458758
34	0.06489383672
35	0.06250887402
36	0.06020492764
37	0.05771753161
38	0.05554023703
39	0.05405565783
40	0.05204960255
41	0.05044889433
42	0.04869871257
43	0.0472068919
44	0.04550179972
45	0.04403898877
46	0.04286267197
47	0.0413960643
48	0.0407231165
49	0.0397779754
50	0.03901378463
51	0.03784894318
52	0.03702009568
53	0.0362983041
54	0.03573202804
55	0.03485551058
56	0.03419267938
57	0.03360739834
58	0.03289218666
59	0.03221033171
60	0.03169501272
61	0.03106758551
62	0.03053057377
63	0.02992216043
64	0.02926413605
65	0.02890247907
66	0.02842881586
67	0.02800457614
68	0.02759898933
69	0.02684964191
70	0.02617302283
71	0.02580981213
72	0.02533426481
73	0.02484834357
74	0.02442887421
75	0.02399322592
76	0.02364680784
77	0.02341513884
78	0.02308891297
79	0.02282187011
80	0.02257187222
81	0.02228959152
82	0.02199797276
83	0.02174513838
84	0.02153793114
85	0.02120875348
86	0.02092713297
87	0.020693518
88	0.02045135472
89	0.02019853618
90	0.01985320619
91	0.0196139153
92	0.0193928053
93	0.01923697678
94	0.01905554131
95	0.01893029425
96	0.01880157546
97	0.01858420527
98	0.01837164115
99	0.01810651557
100	0.01802089082
101	0.01787474066
102	0.01777405865
103	0.01758019027
104	0.01745244425
105	0.01719224835
106	0.01705956114
107	0.01687252905
108	0.0166930112
109	0.01658289476
110	0.01651643284
111	0.01634414451
112	0.01628081396
113	0.01618119236
114	0.01604167665
115	0.01593671269
116	0.0158444503
117	0.01575742534
118	0.01561815747
119	0.01554263915
120	0.0154014205
121	0.01520297854
122	0.01511383315
123	0.0149732301
124	0.01487999314
125	0.01472470675
126	0.01458788732
127	0.01448982387
128	0.01442239531
129	0.01435934605
130	0.0142535013
131	0.01408211113
132	0.01401609017
133	0.01393736726
134	0.01385038129
135	0.01374659343
136	0.01367289945
137	0.013554957
138	0.01344916891
139	0.01333205957
140	0.01323933664
141	0.01319249369
142	0.01308660205
143	0.01299151097
144	0.01286479779
145	0.01275090559
146	0.01259217122
147	0.01252223553
148	0.01245586716
149	0.01236740267
150	0.01227554814
151	0.01220446251
152	0.01205685436
153	0.01189427108
154	0.01184480114
155	0.01182336136
156	0.01176759516
157	0.01172402555
158	0.0116661325
159	0.01158425796
160	0.01153443863
161	0.01148840093
162	0.01141415473
163	0.01132784043
164	0.01123273186
165	0.01115752875
166	0.01111056271
167	0.01102900566
168	0.01093827042
169	0.01088587543
170	0.01080668227
171	0.01073977713
172	0.01067733864
173	0.01064043294
174	0.0105573533
175	0.01045868342
176	0.01042514015
177	0.01038194512
178	0.0103384915
179	0.01030599971
180	0.01028165079
181	0.01019053189
182	0.01014202038
183	0.01006914284
184	0.009957267291
185	0.009890159931
186	0.009848261934
187	0.009771683856
188	0.009715200848
189	0.009660707968
190	0.009573451497
191	0.009477593503
192	0.009429321513
193	0.009354226611
194	0.009304171692
195	0.00925779513
196	0.009215848828
197	0.009171624343
198	0.009129388405
